
==========
== CUDA ==
==========

CUDA Version 12.1.1

Container image Copyright (c) 2016-2023, NVIDIA CORPORATION & AFFILIATES. All rights reserved.

This container image and its contents are governed by the NVIDIA Deep Learning Container License.
By pulling and using the container, you accept the terms and conditions of this license:
https://developer.nvidia.com/ngc/nvidia-deep-learning-container-license

A copy of this license is made available in this container at /NGC-DL-CONTAINER-LICENSE for your convenience.


################################################################################
# HORIZON: 1 HOUR(S)
################################################################################

============================================================
Loading data for horizon h+1
============================================================
Features: 823

[Train XGBoost]
/usr/local/lib/python3.10/dist-packages/xgboost/core.py:160: UserWarning: [11:37:51] WARNING: /workspace/src/common/error_msg.cc:27: The tree method `gpu_hist` is deprecated since 2.0.0. To use GPU training, set the `device` parameter to CUDA instead.

    E.g. tree_method = "hist", device = "cuda"

  warnings.warn(smsg, UserWarning)
[0]	train-mlogloss:1.06745	valid-mlogloss:1.07058
[173]	train-mlogloss:0.09081	valid-mlogloss:0.34731
[174]	train-mlogloss:0.09009	valid-mlogloss:0.34671
[175]	train-mlogloss:0.08938	valid-mlogloss:0.34662
[176]	train-mlogloss:0.08866	valid-mlogloss:0.34652
[177]	train-mlogloss:0.08802	valid-mlogloss:0.34603
[178]	train-mlogloss:0.08732	valid-mlogloss:0.34650
[179]	train-mlogloss:0.08664	valid-mlogloss:0.34633
[180]	train-mlogloss:0.08606	valid-mlogloss:0.34590
[181]	train-mlogloss:0.08539	valid-mlogloss:0.34581
[182]	train-mlogloss:0.08480	valid-mlogloss:0.34504
[183]	train-mlogloss:0.08423	valid-mlogloss:0.34505
[184]	train-mlogloss:0.08358	valid-mlogloss:0.34505
[185]	train-mlogloss:0.08293	valid-mlogloss:0.34443
[186]	train-mlogloss:0.08239	valid-mlogloss:0.34436
[187]	train-mlogloss:0.08189	valid-mlogloss:0.34398
[188]	train-mlogloss:0.08131	valid-mlogloss:0.34365
[189]	train-mlogloss:0.08075	valid-mlogloss:0.34366
[190]	train-mlogloss:0.08014	valid-mlogloss:0.34347
[191]	train-mlogloss:0.07956	valid-mlogloss:0.34372
[192]	train-mlogloss:0.07900	valid-mlogloss:0.34380
[193]	train-mlogloss:0.07842	valid-mlogloss:0.34368
[194]	train-mlogloss:0.07783	valid-mlogloss:0.34383
[195]	train-mlogloss:0.07735	valid-mlogloss:0.34398
[196]	train-mlogloss:0.07677	valid-mlogloss:0.34344
[197]	train-mlogloss:0.07621	valid-mlogloss:0.34400
[198]	train-mlogloss:0.07572	valid-mlogloss:0.34458
[199]	train-mlogloss:0.07521	valid-mlogloss:0.34372
[200]	train-mlogloss:0.07471	valid-mlogloss:0.34367
[201]	train-mlogloss:0.07417	valid-mlogloss:0.34407
[202]	train-mlogloss:0.07366	valid-mlogloss:0.34371
[203]	train-mlogloss:0.07322	valid-mlogloss:0.34376
[204]	train-mlogloss:0.07282	valid-mlogloss:0.34348
[205]	train-mlogloss:0.07230	valid-mlogloss:0.34251
[206]	train-mlogloss:0.07179	valid-mlogloss:0.34291
[207]	train-mlogloss:0.07127	valid-mlogloss:0.34295
[208]	train-mlogloss:0.07078	valid-mlogloss:0.34320
[209]	train-mlogloss:0.07029	valid-mlogloss:0.34351
[210]	train-mlogloss:0.06986	valid-mlogloss:0.34306
[211]	train-mlogloss:0.06943	valid-mlogloss:0.34288
[212]	train-mlogloss:0.06897	valid-mlogloss:0.34237
[213]	train-mlogloss:0.06850	valid-mlogloss:0.34256
[214]	train-mlogloss:0.06802	valid-mlogloss:0.34300
[215]	train-mlogloss:0.06763	valid-mlogloss:0.34333
[216]	train-mlogloss:0.06722	valid-mlogloss:0.34306
[217]	train-mlogloss:0.06676	valid-mlogloss:0.34288
[218]	train-mlogloss:0.06639	valid-mlogloss:0.34317
[219]	train-mlogloss:0.06595	valid-mlogloss:0.34319
[220]	train-mlogloss:0.06551	valid-mlogloss:0.34311
[221]	train-mlogloss:0.06510	valid-mlogloss:0.34285
[222]	train-mlogloss:0.06474	valid-mlogloss:0.34313
[223]	train-mlogloss:0.06431	valid-mlogloss:0.34333
[224]	train-mlogloss:0.06392	valid-mlogloss:0.34332
[225]	train-mlogloss:0.06350	valid-mlogloss:0.34346
[226]	train-mlogloss:0.06308	valid-mlogloss:0.34314
[227]	train-mlogloss:0.06272	valid-mlogloss:0.34295
[228]	train-mlogloss:0.06233	valid-mlogloss:0.34306
[229]	train-mlogloss:0.06195	valid-mlogloss:0.34321
[230]	train-mlogloss:0.06158	valid-mlogloss:0.34365
[231]	train-mlogloss:0.06120	valid-mlogloss:0.34325
[232]	train-mlogloss:0.06082	valid-mlogloss:0.34277
[233]	train-mlogloss:0.06045	valid-mlogloss:0.34304
[234]	train-mlogloss:0.06014	valid-mlogloss:0.34262
[235]	train-mlogloss:0.05977	valid-mlogloss:0.34244
[236]	train-mlogloss:0.05938	valid-mlogloss:0.34259
[237]	train-mlogloss:0.05901	valid-mlogloss:0.34238
[238]	train-mlogloss:0.05866	valid-mlogloss:0.34221
[239]	train-mlogloss:0.05829	valid-mlogloss:0.34235
[240]	train-mlogloss:0.05795	valid-mlogloss:0.34230
[241]	train-mlogloss:0.05762	valid-mlogloss:0.34229
[242]	train-mlogloss:0.05729	valid-mlogloss:0.34208
[243]	train-mlogloss:0.05696	valid-mlogloss:0.34145
[244]	train-mlogloss:0.05661	valid-mlogloss:0.34193
[245]	train-mlogloss:0.05627	valid-mlogloss:0.34204
[246]	train-mlogloss:0.05595	valid-mlogloss:0.34218
[247]	train-mlogloss:0.05561	valid-mlogloss:0.34242
[248]	train-mlogloss:0.05529	valid-mlogloss:0.34271
[249]	train-mlogloss:0.05499	valid-mlogloss:0.34326
[250]	train-mlogloss:0.05471	valid-mlogloss:0.34296
[251]	train-mlogloss:0.05437	valid-mlogloss:0.34300
[252]	train-mlogloss:0.05406	valid-mlogloss:0.34273
[253]	train-mlogloss:0.05377	valid-mlogloss:0.34308
[254]	train-mlogloss:0.05347	valid-mlogloss:0.34309
[255]	train-mlogloss:0.05318	valid-mlogloss:0.34304
[256]	train-mlogloss:0.05289	valid-mlogloss:0.34331
[257]	train-mlogloss:0.05261	valid-mlogloss:0.34316
[258]	train-mlogloss:0.05232	valid-mlogloss:0.34272
[259]	train-mlogloss:0.05204	valid-mlogloss:0.34244
[260]	train-mlogloss:0.05174	valid-mlogloss:0.34233
[261]	train-mlogloss:0.05150	valid-mlogloss:0.34239
[262]	train-mlogloss:0.05122	valid-mlogloss:0.34195
[263]	train-mlogloss:0.05097	valid-mlogloss:0.34217
[264]	train-mlogloss:0.05071	valid-mlogloss:0.34235
[265]	train-mlogloss:0.05043	valid-mlogloss:0.34270
[266]	train-mlogloss:0.05018	valid-mlogloss:0.34231
[267]	train-mlogloss:0.04990	valid-mlogloss:0.34246
[268]	train-mlogloss:0.04963	valid-mlogloss:0.34278
[269]	train-mlogloss:0.04935	valid-mlogloss:0.34263
[270]	train-mlogloss:0.04910	valid-mlogloss:0.34264
[271]	train-mlogloss:0.04884	valid-mlogloss:0.34247
[272]	train-mlogloss:0.04857	valid-mlogloss:0.34263
[273]	train-mlogloss:0.04832	valid-mlogloss:0.34287
[274]	train-mlogloss:0.04808	valid-mlogloss:0.34291
[275]	train-mlogloss:0.04785	valid-mlogloss:0.34255
[276]	train-mlogloss:0.04759	valid-mlogloss:0.34272
[277]	train-mlogloss:0.04735	valid-mlogloss:0.34262
[278]	train-mlogloss:0.04712	valid-mlogloss:0.34275
[279]	train-mlogloss:0.04688	valid-mlogloss:0.34284
[280]	train-mlogloss:0.04666	valid-mlogloss:0.34290
[281]	train-mlogloss:0.04643	valid-mlogloss:0.34285
[282]	train-mlogloss:0.04621	valid-mlogloss:0.34277
[283]	train-mlogloss:0.04598	valid-mlogloss:0.34281
[284]	train-mlogloss:0.04574	valid-mlogloss:0.34254
[285]	train-mlogloss:0.04551	valid-mlogloss:0.34283
[286]	train-mlogloss:0.04530	valid-mlogloss:0.34326
[287]	train-mlogloss:0.04506	valid-mlogloss:0.34323
[288]	train-mlogloss:0.04483	valid-mlogloss:0.34310
[289]	train-mlogloss:0.04465	valid-mlogloss:0.34258
[290]	train-mlogloss:0.04443	valid-mlogloss:0.34264
[291]	train-mlogloss:0.04424	valid-mlogloss:0.34279
[292]	train-mlogloss:0.04404	valid-mlogloss:0.34279
[Extract leaf indices & hash]
/usr/local/lib/python3.10/dist-packages/xgboost/core.py:160: UserWarning: [11:38:00] WARNING: /workspace/src/common/error_msg.cc:27: The tree method `gpu_hist` is deprecated since 2.0.0. To use GPU training, set the `device` parameter to CUDA instead.

    E.g. tree_method = "hist", device = "cuda"

  warnings.warn(smsg, UserWarning)

✓ Data loaded. Train=(6942, 823), Valid=(168, 823), Test=(2247, 823)
Class distribution (train):
0    0.390954
1    0.278306
2    0.330740
Name: proportion, dtype: float64

============================================================
Train DeepGBM Deep Component (h+1)
============================================================

[Building Deep component...]
Deep params: 3,318,403 | Device: cuda
Class weights: {'low': 0.8526160648489315, 'mid': 1.1977225672877847, 'high': 1.0078397212543555}
Epoch   1/80 | Loss 0.6835 | Val F1 0.6689 | LR 5.00e-04 | 0.7s ✓ warmup improve
Epoch   2/80 | Loss 0.4980 | Val F1 0.7163 | LR 5.00e-04 | 0.4s ✓ warmup improve
Epoch   3/80 | Loss 0.4368 | Val F1 0.7318 | LR 5.00e-04 | 0.4s ✓ warmup improve
Epoch   4/80 | Loss 0.3901 | Val F1 0.7844 | LR 5.00e-04 | 0.4s ✓ warmup improve
Epoch   5/80 | Loss 0.3580 | Val F1 0.8072 | LR 5.00e-04 | 0.4s ✓ NEW BEST
Epoch   6/80 | Loss 0.3277 | Val F1 0.7373 | LR 5.00e-04 | 0.4s (patience 19/20)
Epoch   7/80 | Loss 0.3107 | Val F1 0.8027 | LR 5.00e-04 | 0.4s (patience 18/20)
Epoch   8/80 | Loss 0.2918 | Val F1 0.7865 | LR 5.00e-04 | 0.4s (patience 17/20)
Epoch   9/80 | Loss 0.2645 | Val F1 0.7967 | LR 5.00e-04 | 0.4s (patience 16/20)
Epoch  10/80 | Loss 0.2472 | Val F1 0.8145 | LR 5.00e-04 | 0.4s ✓ NEW BEST
Epoch  11/80 | Loss 0.2263 | Val F1 0.8145 | LR 5.00e-04 | 0.4s (patience 20/20)
Epoch  12/80 | Loss 0.2093 | Val F1 0.8145 | LR 5.00e-04 | 0.4s (patience 20/20)
Epoch  13/80 | Loss 0.1896 | Val F1 0.8145 | LR 5.00e-04 | 0.3s (patience 20/20)
Epoch  14/80 | Loss 0.1819 | Val F1 0.8145 | LR 5.00e-04 | 0.3s (patience 20/20)
Epoch  15/80 | Loss 0.1750 | Val F1 0.7982 | LR 5.00e-04 | 0.3s (patience 19/20)
Epoch  16/80 | Loss 0.1524 | Val F1 0.7982 | LR 5.00e-04 | 0.3s (patience 19/20)
Epoch  17/80 | Loss 0.1370 | Val F1 0.7982 | LR 5.00e-04 | 0.4s (patience 19/20)
Epoch  18/80 | Loss 0.1280 | Val F1 0.7982 | LR 5.00e-04 | 0.4s (patience 19/20)
Epoch  19/80 | Loss 0.1272 | Val F1 0.7982 | LR 5.00e-04 | 0.3s (patience 19/20)
Epoch  20/80 | Loss 0.1120 | Val F1 0.7914 | LR 5.00e-04 | 0.4s (patience 18/20)
Epoch  21/80 | Loss 0.1028 | Val F1 0.7914 | LR 5.00e-04 | 0.4s (patience 18/20)
Epoch  22/80 | Loss 0.0954 | Val F1 0.7914 | LR 5.00e-04 | 0.3s (patience 18/20)
Epoch  23/80 | Loss 0.0853 | Val F1 0.7914 | LR 5.00e-04 | 0.3s (patience 18/20)
Epoch  24/80 | Loss 0.0873 | Val F1 0.7914 | LR 5.00e-04 | 0.4s (patience 18/20)
Epoch  25/80 | Loss 0.0760 | Val F1 0.8103 | LR 5.00e-04 | 0.4s (patience 17/20)
Epoch  26/80 | Loss 0.0688 | Val F1 0.8103 | LR 5.00e-04 | 0.4s (patience 17/20)
Epoch  27/80 | Loss 0.0614 | Val F1 0.8103 | LR 5.00e-04 | 0.4s (patience 17/20)
Epoch  28/80 | Loss 0.0612 | Val F1 0.8103 | LR 5.00e-04 | 0.4s (patience 17/20)
Epoch  29/80 | Loss 0.0579 | Val F1 0.8103 | LR 5.00e-04 | 0.4s (patience 17/20)
Epoch  30/80 | Loss 0.0510 | Val F1 0.8057 | LR 5.00e-04 | 0.4s (patience 16/20)
Epoch  31/80 | Loss 0.0500 | Val F1 0.8057 | LR 5.00e-04 | 0.4s (patience 16/20)
Epoch  32/80 | Loss 0.0412 | Val F1 0.8057 | LR 5.00e-04 | 0.4s (patience 16/20)
Epoch  33/80 | Loss 0.0476 | Val F1 0.8057 | LR 5.00e-04 | 0.4s (patience 16/20)
Epoch  34/80 | Loss 0.0470 | Val F1 0.8057 | LR 5.00e-04 | 0.4s (patience 16/20)
Epoch  35/80 | Loss 0.0436 | Val F1 0.7875 | LR 2.50e-04 | 0.4s (patience 15/20)
Epoch  36/80 | Loss 0.0334 | Val F1 0.7875 | LR 2.50e-04 | 0.4s (patience 15/20)
Epoch  37/80 | Loss 0.0264 | Val F1 0.7875 | LR 2.50e-04 | 0.4s (patience 15/20)
Epoch  38/80 | Loss 0.0261 | Val F1 0.7875 | LR 2.50e-04 | 0.4s (patience 15/20)
Epoch  39/80 | Loss 0.0253 | Val F1 0.7875 | LR 2.50e-04 | 0.4s (patience 15/20)
Epoch  40/80 | Loss 0.0226 | Val F1 0.7986 | LR 2.50e-04 | 0.4s (patience 14/20)
Epoch  41/80 | Loss 0.0274 | Val F1 0.7986 | LR 2.50e-04 | 0.4s (patience 14/20)
Epoch  42/80 | Loss 0.0218 | Val F1 0.7986 | LR 2.50e-04 | 0.4s (patience 14/20)
Epoch  43/80 | Loss 0.0193 | Val F1 0.7986 | LR 2.50e-04 | 0.4s (patience 14/20)
Epoch  44/80 | Loss 0.0162 | Val F1 0.7986 | LR 2.50e-04 | 0.4s (patience 14/20)
Epoch  45/80 | Loss 0.0215 | Val F1 0.7824 | LR 2.50e-04 | 0.4s (patience 13/20)
Epoch  46/80 | Loss 0.0177 | Val F1 0.7824 | LR 2.50e-04 | 0.4s (patience 13/20)
Epoch  47/80 | Loss 0.0173 | Val F1 0.7824 | LR 2.50e-04 | 0.4s (patience 13/20)
Epoch  48/80 | Loss 0.0187 | Val F1 0.7824 | LR 2.50e-04 | 0.4s (patience 13/20)
Epoch  49/80 | Loss 0.0171 | Val F1 0.7824 | LR 2.50e-04 | 0.4s (patience 13/20)
Epoch  50/80 | Loss 0.0133 | Val F1 0.8026 | LR 2.50e-04 | 0.4s (patience 12/20)
Epoch  51/80 | Loss 0.0182 | Val F1 0.8026 | LR 2.50e-04 | 0.4s (patience 12/20)
Epoch  52/80 | Loss 0.0116 | Val F1 0.8026 | LR 2.50e-04 | 0.4s (patience 12/20)
Epoch  53/80 | Loss 0.0146 | Val F1 0.8026 | LR 2.50e-04 | 0.5s (patience 12/20)
Epoch  54/80 | Loss 0.0126 | Val F1 0.8026 | LR 2.50e-04 | 0.4s (patience 12/20)
Epoch  55/80 | Loss 0.0141 | Val F1 0.7966 | LR 2.50e-04 | 0.4s (patience 11/20)
Epoch  56/80 | Loss 0.0118 | Val F1 0.7966 | LR 2.50e-04 | 0.4s (patience 11/20)
Epoch  57/80 | Loss 0.0103 | Val F1 0.7966 | LR 2.50e-04 | 0.4s (patience 11/20)
Epoch  58/80 | Loss 0.0094 | Val F1 0.7966 | LR 2.50e-04 | 0.4s (patience 11/20)
Epoch  59/80 | Loss 0.0126 | Val F1 0.7966 | LR 2.50e-04 | 0.4s (patience 11/20)
Epoch  60/80 | Loss 0.0086 | Val F1 0.7989 | LR 1.25e-04 | 0.4s (patience 10/20)
Epoch  61/80 | Loss 0.0094 | Val F1 0.7989 | LR 1.25e-04 | 0.4s (patience 10/20)
Epoch  62/80 | Loss 0.0084 | Val F1 0.7989 | LR 1.25e-04 | 0.4s (patience 10/20)
Epoch  63/80 | Loss 0.0106 | Val F1 0.7989 | LR 1.25e-04 | 0.4s (patience 10/20)
Epoch  64/80 | Loss 0.0101 | Val F1 0.7989 | LR 1.25e-04 | 0.4s (patience 10/20)
Epoch  65/80 | Loss 0.0065 | Val F1 0.8066 | LR 1.25e-04 | 0.4s (patience 9/20)
